bairro,IVU,nota_renda,nota_seguranca,nota_mobilidade,dado_renda,dado_seguranca,dado_mobilidade
Jaqueira,7.35,10.0,10.0,1.17,"R$ 16.337,43",0 ocorrencias e 0 baleados,3 paradas
Parnamirim,7.15,8.07,10.0,3.08,"R$ 13.405,17",0 ocorrencias e 0 baleados,20 paradas
Casa Forte,6.86,8.67,9.45,1.85,"R$ 14.308,91",2 ocorrencias e 2 baleados,11 paradas
Monteiro,6.48,6.51,10.0,2.92,"R$ 11.028,80",0 ocorrencias e 0 baleados,17 paradas
Graças,6.35,6.99,10.0,1.84,"R$ 11.761,22",0 ocorrencias e 0 baleados,28 paradas
Derby,6.21,5.35,10.0,3.56,"R$ 9.259,89",0 ocorrencias e 0 baleados,18 paradas
Aflitos,6.15,6.5,10.0,1.84,"R$ 11.008,62",0 ocorrencias e 0 baleados,6 paradas
Santo Antônio,6.12,0.75,9.4,10.0,"R$ 2.260,80",2 ocorrencias e 2 baleados,55 paradas
Poço,6.05,7.26,9.67,0.83,"R$ 12.168,53",1 ocorrencia e 1 baleado,7 paradas
Rosarinho,5.96,6.03,10.0,1.84,"R$ 10.288,50",0 ocorrencias e 0 baleados,5 paradas
Espinheiro,5.95,5.75,10.0,2.18,"R$ 9.868,23",0 ocorrencias e 0 baleados,17 paradas
Santana,5.95,6.94,10.0,0.59,"R$ 11.677,45",0 ocorrencias e 0 baleados,3 paradas
Tamarineira,5.91,5.75,10.0,2.03,"R$ 9.867,05",0 ocorrencias e 0 baleados,22 paradas
Encruzilhada,5.65,4.99,9.67,2.5,"R$ 8.709,60",1 ocorrencia e 1 baleado,27 paradas
Madalena,5.38,5.03,9.23,2.0,"R$ 8.778,91",3 ocorrencias e 3 baleados,39 paradas
Paissandu,5.29,3.48,10.0,3.0,"R$ 6.419,92",0 ocorrencias e 0 baleados,11 paradas
Ilha do Leite,5.19,3.84,9.67,2.51,"R$ 6.958,19",1 ocorrencia e 1 baleado,7 paradas
Ilha do Retiro,5.18,5.26,8.68,1.56,"R$ 9.121,81",5 ocorrencias e 4 baleados,9 paradas
