bairro,nota_dimensao,dado_principal
Aflitos,1.84,6 paradas
Afogados,1.44,52 paradas
Alto José Bonifácio,3.31,20 paradas
Alto José do Pinho,1.36,6 paradas
Alto Santa Terezinha,4.79,16 paradas
Alto do Mandu,2.65,7 paradas
Apipucos,0.87,12 paradas
Areias,2.28,58 paradas
Arruda,1.82,19 paradas
Barro,1.13,53 paradas
Beberibe,2.12,11 paradas
Boa Viagem,1.52,125 paradas
Boa Vista,3.3,62 paradas
Bomba do Hemetério,3.27,15 paradas
Bongi,2.04,13 paradas
Brasília Teimosa,2.06,14 paradas
Brejo da Guabiraba,0.95,8 paradas
Brejo de Beberibe,3.33,23 paradas
Cabanga,1.83,11 paradas
Cajueiro,2.26,14 paradas
Campina do Barreto,3.3,19 paradas
Campo Grande,1.93,46 paradas
Casa Amarela,2.65,53 paradas
Casa Forte,1.85,11 paradas
Caxangá,1.91,50 paradas
Caçote,1.24,6 paradas
Cidade Universitária,1.88,33 paradas
Coelhos,2.21,10 paradas
Cohab,2.74,126 paradas
Coqueiral,2.73,15 paradas
Cordeiro,2.24,81 paradas
Curado,0.65,55 paradas
Córrego do Jenipapo,3.25,21 paradas
Derby,3.56,18 paradas
Dois Irmãos,0.46,29 paradas
Dois Unidos,1.94,65 paradas
Encruzilhada,2.5,27 paradas
Engenho do Meio,2.1,19 paradas
Espinheiro,2.18,17 paradas
Estância,2.45,21 paradas
Fundão,1.35,9 paradas
Graças,1.84,28 paradas
Guabiraba,0.05,24 paradas
Hipódromo,1.25,4 paradas
Ibura,0.78,84 paradas
Ilha Joana Bezerra,1.77,22 paradas
Ilha do Leite,2.51,7 paradas
Ilha do Retiro,1.56,9 paradas
Imbiribeira,1.53,108 paradas
Ipsep,2.42,46 paradas
Iputinga,1.65,76 paradas
Jaqueira,1.17,3 paradas
Jardim São Paulo,2.4,65 paradas
Jiquiá,1.35,24 paradas
Jordão,1.97,33 paradas
Linha do Tiro,3.01,26 paradas
Macaxeira,2.26,30 paradas
Madalena,2.0,39 paradas
Mangabeira,3.28,10 paradas
Mangueira,3.58,12 paradas
Monteiro,2.92,17 paradas
Morro da Conceição,2.23,9 paradas
Mustardinha,1.18,8 paradas
Nova Descoberta,2.47,48 paradas
Paissandu,3.0,11 paradas
Parnamirim,3.08,20 paradas
Passarinho,0.53,23 paradas
Pau Ferro,0.0,0 paradas
Peixinhos,0.27,1 paradas
Pina,0.64,43 paradas
Ponto de Parada,0.99,2 paradas
Porto da Madeira,1.96,10 paradas
Poço,0.83,7 paradas
Prado,2.54,34 paradas
Recife,0.99,13 paradas
Rosarinho,1.84,5 paradas
San Martin,1.6,35 paradas
Sancho,1.94,13 paradas
Santana,0.59,3 paradas
Santo Amaro,2.09,75 paradas
Santo Antônio,10.0,55 paradas
Soledade,3.2,11 paradas
São José,3.13,59 paradas
Sítio dos Pintos - São Brás,0.96,17 paradas
Tamarineira,2.03,22 paradas
Tejipió,2.03,21 paradas
Torre,0.96,12 paradas
Torreão,1.16,2 paradas
Torrões,1.46,26 paradas
Totó,3.43,5 paradas
Vasco da Gama,2.06,35 paradas
Várzea,0.68,163 paradas
Zumbí,2.3,10 paradas
Água Fria,2.5,51 paradas
