bairro,nota_dimensao,dado_principal
Jaqueira,10.0,"R$ 16.337,43"
Casa Forte,8.67,"R$ 14.308,91"
Parnamirim,8.07,"R$ 13.405,17"
Poço,7.26,"R$ 12.168,53"
Graças,6.99,"R$ 11.761,22"
Santana,6.94,"R$ 11.677,45"
Monteiro,6.51,"R$ 11.028,80"
Aflitos,6.5,"R$ 11.008,62"
Rosarinho,6.03,"R$ 10.288,50"
Tamarineira,5.75,"R$ 9.867,05"
Espinheiro,5.75,"R$ 9.868,23"
Boa Viagem,5.62,"R$ 9.664,02"
Derby,5.35,"R$ 9.259,89"
Ilha do Retiro,5.26,"R$ 9.121,81"
Madalena,5.03,"R$ 8.778,91"
Encruzilhada,4.99,"R$ 8.709,60"
Ponto de Parada,4.26,"R$ 7.596,61"
Torreão,4.04,"R$ 7.266,35"
Torre,3.88,"R$ 7.018,49"
Ilha do Leite,3.84,"R$ 6.958,19"
Paissandu,3.48,"R$ 6.419,92"
Casa Amarela,3.34,"R$ 6.204,09"
Hipódromo,2.8,"R$ 5.376,65"
Boa Vista,2.72,"R$ 5.250,98"
Soledade,2.66,"R$ 5.167,32"
Pau Ferro,2.48,"R$ 4.898,92"
Cordeiro,1.75,"R$ 3.781,89"
Pina,1.75,"R$ 3.786,06"
Imbiribeira,1.73,"R$ 3.750,09"
Prado,1.65,"R$ 3.628,10"
Santo Amaro,1.63,"R$ 3.591,84"
Caxangá,1.39,"R$ 3.233,37"
Engenho do Meio,1.36,"R$ 3.183,56"
Cajueiro,1.34,"R$ 3.154,27"
Tejipió,1.23,"R$ 2.983,55"
Zumbí,1.21,"R$ 2.959,16"
Ipsep,1.2,"R$ 2.937,67"
Vasco da Gama,1.16,"R$ 2.881,71"
Iputinga,1.14,"R$ 2.844,65"
Várzea,1.1,"R$ 2.791,53"
Jardim São Paulo,1.09,"R$ 2.779,70"
Cidade Universitária,1.09,"R$ 2.772,19"
Apipucos,1.05,"R$ 2.710,47"
San Martin,1.05,"R$ 2.716,84"
Campo Grande,1.03,"R$ 2.678,00"
Arruda,0.98,"R$ 2.604,73"
Areias,0.92,"R$ 2.512,57"
Porto da Madeira,0.92,"R$ 2.512,69"
Bongi,0.85,"R$ 2.406,40"
Santo Antônio,0.75,"R$ 2.260,80"
Fundão,0.73,"R$ 2.227,07"
São José,0.7,"R$ 2.187,88"
Alto do Mandu,0.62,"R$ 2.064,06"
Barro,0.59,"R$ 2.018,89"
Cohab,0.57,"R$ 1.978,02"
Campina do Barreto,0.56,"R$ 1.972,12"
Estância,0.55,"R$ 1.955,69"
Afogados,0.55,"R$ 1.949,84"
Macaxeira,0.53,"R$ 1.928,94"
Guabiraba,0.51,"R$ 1.899,21"
Jiquiá,0.49,"R$ 1.856,67"
Mangabeira,0.48,"R$ 1.846,19"
Sítio dos Pintos - São Brás,0.47,"R$ 1.834,45"
Dois Irmãos,0.44,"R$ 1.793,39"
Mustardinha,0.38,"R$ 1.696,83"
Cabanga,0.37,"R$ 1.681,01"
Jordão,0.36,"R$ 1.670,92"
Sancho,0.35,"R$ 1.643,73"
Bomba do Hemetério,0.35,"R$ 1.654,34"
Ibura,0.34,"R$ 1.635,80"
Totó,0.34,"R$ 1.629,82"
Brasília Teimosa,0.33,"R$ 1.615,62"
Mangueira,0.3,"R$ 1.566,32"
Curado,0.3,"R$ 1.569,75"
Água Fria,0.29,"R$ 1.558,77"
Torrões,0.28,"R$ 1.542,65"
Morro da Conceição,0.28,"R$ 1.538,83"
Coqueiral,0.25,"R$ 1.501,00"
Coelhos,0.25,"R$ 1.489,89"
Alto José do Pinho,0.24,"R$ 1.488,98"
Brejo da Guabiraba,0.22,"R$ 1.450,60"
Alto José Bonifácio,0.22,"R$ 1.455,46"
Nova Descoberta,0.21,"R$ 1.431,94"
Beberibe,0.21,"R$ 1.434,48"
Brejo de Beberibe,0.2,"R$ 1.427,46"
Linha do Tiro,0.2,"R$ 1.426,11"
Dois Unidos,0.17,"R$ 1.371,21"
Córrego do Jenipapo,0.16,"R$ 1.364,08"
Alto Santa Terezinha,0.15,"R$ 1.349,52"
Caçote,0.09,"R$ 1.246,28"
Passarinho,0.05,"R$ 1.193,83"
Peixinhos,0.05,"R$ 1.195,42"
Ilha Joana Bezerra,0.01,"R$ 1.134,42"
Recife,0.0,"R$ 1.116,60"
