bairro,nota_dimensao,dado_principal
Recife,10.0,0 ocorrencias e 0 baleados
Beberibe,10.0,0 ocorrencias e 0 baleados
Jaqueira,10.0,0 ocorrencias e 0 baleados
Fundão,10.0,0 ocorrencias e 0 baleados
Espinheiro,10.0,0 ocorrencias e 0 baleados
Parnamirim,10.0,0 ocorrencias e 0 baleados
Graças,10.0,0 ocorrencias e 0 baleados
Santana,10.0,0 ocorrencias e 0 baleados
Monteiro,10.0,0 ocorrencias e 0 baleados
Aflitos,10.0,0 ocorrencias e 0 baleados
Rosarinho,10.0,0 ocorrencias e 0 baleados
Tamarineira,10.0,0 ocorrencias e 0 baleados
Derby,10.0,0 ocorrencias e 0 baleados
Apipucos,10.0,0 ocorrencias e 0 baleados
Ponto de Parada,10.0,0 ocorrencias e 0 baleados
Torreão,10.0,0 ocorrencias e 0 baleados
Paissandu,10.0,0 ocorrencias e 0 baleados
Hipódromo,10.0,0 ocorrencias e 0 baleados
Soledade,10.0,0 ocorrencias e 0 baleados
Pau Ferro,10.0,0 ocorrencias e 0 baleados
Caxangá,10.0,0 ocorrencias e 0 baleados
Peixinhos,10.0,0 ocorrencias e 0 baleados
Sancho,9.78,1 ocorrencia e 1 baleado
Porto da Madeira,9.67,1 ocorrencia e 1 baleado
Ilha do Leite,9.67,1 ocorrencia e 1 baleado
Mangabeira,9.67,1 ocorrencia e 1 baleado
Cabanga,9.67,1 ocorrencia e 1 baleado
Encruzilhada,9.67,1 ocorrencia e 1 baleado
Zumbí,9.67,1 ocorrencia e 1 baleado
Caçote,9.67,1 ocorrencia e 1 baleado
Poço,9.67,1 ocorrencia e 1 baleado
Casa Forte,9.45,2 ocorrencias e 2 baleados
Cidade Universitária,9.4,1 ocorrencia e 3 baleados
Santo Antônio,9.4,2 ocorrencias e 2 baleados
Alto do Mandu,9.34,2 ocorrencias e 2 baleados
Totó,9.34,2 ocorrencias e 2 baleados
Cajueiro,9.34,2 ocorrencias e 3 baleados
Madalena,9.23,3 ocorrencias e 3 baleados
Dois Irmãos,9.23,2 ocorrencias e 3 baleados
Engenho do Meio,8.96,2 ocorrencias e 4 baleados
Casa Amarela,8.9,3 ocorrencias e 4 baleados
Morro da Conceição,8.9,3 ocorrencias e 4 baleados
Jordão,8.79,4 ocorrencias e 4 baleados
Bongi,8.79,5 ocorrencias e 4 baleados
Estância,8.79,4 ocorrencias e 4 baleados
Mustardinha,8.68,4 ocorrencias e 4 baleados
Arruda,8.68,5 ocorrencias e 4 baleados
Ilha do Retiro,8.68,5 ocorrencias e 4 baleados
Boa Vista,8.57,5 ocorrencias e 4 baleados
Coqueiral,8.46,5 ocorrencias e 5 baleados
Sítio dos Pintos - São Brás,8.46,5 ocorrencias e 5 baleados
Coelhos,8.46,5 ocorrencias e 5 baleados
Alto Santa Terezinha,8.35,5 ocorrencias e 7 baleados
Córrego do Jenipapo,8.3,5 ocorrencias e 5 baleados
Alto José Bonifácio,8.24,5 ocorrencias e 6 baleados
Tejipió,8.24,5 ocorrencias e 6 baleados
Linha do Tiro,8.24,5 ocorrencias e 6 baleados
Mangueira,8.13,7 ocorrencias e 7 baleados
Brasília Teimosa,8.13,6 ocorrencias e 6 baleados
Prado,8.13,6 ocorrencias e 6 baleados
Vasco da Gama,8.13,7 ocorrencias e 7 baleados
Santo Amaro,8.08,7 ocorrencias e 5 baleados
San Martin,8.02,5 ocorrencias e 7 baleados
Torre,7.97,6 ocorrencias e 6 baleados
Imbiribeira,7.97,7 ocorrencias e 7 baleados
Barro,7.75,6 ocorrencias e 8 baleados
Areias,7.58,9 ocorrencias e 9 baleados
Cohab,7.47,8 ocorrencias e 10 baleados
Campina do Barreto,7.42,7 ocorrencias e 10 baleados
Ipsep,7.36,9 ocorrencias e 8 baleados
Cordeiro,7.2,9 ocorrencias e 11 baleados
Jiquiá,7.14,6 ocorrencias e 9 baleados
Campo Grande,7.03,9 ocorrencias e 10 baleados
Alto José do Pinho,7.03,11 ocorrencias e 11 baleados
Ibura,7.03,10 ocorrencias e 9 baleados
Brejo de Beberibe,6.87,10 ocorrencias e 11 baleados
Bomba do Hemetério,6.7,10 ocorrencias e 13 baleados
Ilha Joana Bezerra,6.48,12 ocorrencias e 12 baleados
Passarinho,5.99,13 ocorrencias e 14 baleados
Macaxeira,5.88,12 ocorrencias e 14 baleados
São José,5.77,13 ocorrencias e 17 baleados
Curado,5.77,14 ocorrencias e 14 baleados
Torrões,4.78,16 ocorrencias e 20 baleados
Jardim São Paulo,4.56,16 ocorrencias e 18 baleados
Guabiraba,4.56,16 ocorrencias e 18 baleados
Brejo da Guabiraba,4.51,15 ocorrencias e 18 baleados
Pina,3.9,19 ocorrencias e 23 baleados
Boa Viagem,3.85,19 ocorrencias e 22 baleados
Iputinga,3.79,21 ocorrencias e 21 baleados
Várzea,3.68,18 ocorrencias e 23 baleados
Afogados,3.35,23 ocorrencias e 21 baleados
Água Fria,2.64,20 ocorrencias e 25 baleados
Dois Unidos,0.05,31 ocorrencias e 35 baleados
Nova Descoberta,0.0,22 ocorrencias e 33 baleados
