ranking,bairro,nota_dimensao,dado_principal
1,Santo Antônio,10.0,55 paradas
2,Alto Santa Terezinha,4.79,16 paradas
3,Mangueira,3.58,12 paradas
4,Derby,3.56,18 paradas
5,Totó,3.43,5 paradas
6,Brejo de Beberibe,3.33,23 paradas
7,Alto José Bonifácio,3.31,20 paradas
8,Campina do Barreto,3.3,19 paradas
9,Boa Vista,3.3,62 paradas
10,Mangabeira,3.28,10 paradas
11,Bomba do Hemetério,3.27,15 paradas
12,Córrego do Jenipapo,3.25,21 paradas
13,Soledade,3.2,11 paradas
14,São José,3.13,59 paradas
15,Parnamirim,3.08,20 paradas
16,Linha do Tiro,3.01,26 paradas
17,Paissandu,3.0,11 paradas
18,Monteiro,2.92,17 paradas
19,Cohab,2.74,126 paradas
20,Coqueiral,2.73,15 paradas
21,Casa Amarela,2.65,53 paradas
22,Alto do Mandu,2.65,7 paradas
23,Prado,2.54,34 paradas
24,Ilha do Leite,2.51,7 paradas
25,Água Fria,2.5,51 paradas
26,Encruzilhada,2.5,27 paradas
27,Nova Descoberta,2.47,48 paradas
28,Estância,2.45,21 paradas
29,Ipsep,2.42,46 paradas
30,Jardim São Paulo,2.4,65 paradas
31,Zumbí,2.3,10 paradas
32,Areias,2.28,58 paradas
33,Cajueiro,2.26,14 paradas
34,Macaxeira,2.26,30 paradas
35,Cordeiro,2.24,81 paradas
36,Morro da Conceição,2.23,9 paradas
37,Coelhos,2.21,10 paradas
38,Espinheiro,2.18,17 paradas
39,Beberibe,2.12,11 paradas
40,Engenho do Meio,2.1,19 paradas
41,Santo Amaro,2.09,75 paradas
42,Brasília Teimosa,2.06,14 paradas
43,Vasco da Gama,2.06,35 paradas
44,Bongi,2.04,13 paradas
45,Tejipió,2.03,21 paradas
46,Tamarineira,2.03,22 paradas
47,Madalena,2.0,39 paradas
48,Jordão,1.97,33 paradas
49,Porto da Madeira,1.96,10 paradas
50,Sancho,1.94,13 paradas
51,Dois Unidos,1.94,65 paradas
52,Campo Grande,1.93,46 paradas
53,Caxangá,1.91,50 paradas
54,Cidade Universitária,1.88,33 paradas
55,Casa Forte,1.85,11 paradas
56,Rosarinho,1.84,5 paradas
57,Aflitos,1.84,6 paradas
58,Graças,1.84,28 paradas
59,Cabanga,1.83,11 paradas
60,Arruda,1.82,19 paradas
61,Ilha Joana Bezerra,1.77,22 paradas
62,Iputinga,1.65,76 paradas
63,San Martin,1.6,35 paradas
64,Ilha do Retiro,1.56,9 paradas
65,Imbiribeira,1.53,108 paradas
66,Boa Viagem,1.52,125 paradas
67,Torrões,1.46,26 paradas
68,Afogados,1.44,52 paradas
69,Alto José do Pinho,1.36,6 paradas
70,Jiquiá,1.35,24 paradas
71,Fundão,1.35,9 paradas
72,Hipódromo,1.25,4 paradas
73,Caçote,1.24,6 paradas
74,Mustardinha,1.18,8 paradas
75,Jaqueira,1.17,3 paradas
76,Torreão,1.16,2 paradas
77,Barro,1.13,53 paradas
78,Ponto de Parada,0.99,2 paradas
79,Recife,0.99,13 paradas
80,Sítio dos Pintos - São Brás,0.96,17 paradas
81,Torre,0.96,12 paradas
82,Brejo da Guabiraba,0.95,8 paradas
83,Apipucos,0.87,12 paradas
84,Poço,0.83,7 paradas
85,Ibura,0.78,84 paradas
86,Várzea,0.68,163 paradas
87,Curado,0.65,55 paradas
88,Pina,0.64,43 paradas
89,Santana,0.59,3 paradas
90,Passarinho,0.53,23 paradas
91,Dois Irmãos,0.46,29 paradas
92,Peixinhos,0.27,1 paradas
93,Guabiraba,0.05,24 paradas
94,Pau Ferro,0.0,0 paradas
