cd_bairro,nm_bairro,n_setores,total_responsaveis,renda_media_responsavel,mediana_renda_responsavel,responsaveis_em_pobreza,pct_abaixo_pobreza
2611606014,Jaqueira,3,509.0,16337.43,15000.0,0.0,0.0
2611606055,Casa Forte,10,2325.0,14308.91,10001.0,0.0,0.0
2611606054,Parnamirim,14,2573.0,13405.17,10000.0,63.0,2.4
2611606057,Poço,12,1965.0,12168.53,9000.0,0.0,0.0
2611606013,Graças,37,7943.0,11761.22,10000.0,0.0,0.0
2611606056,Santana,6,1013.0,11677.45,8500.0,0.0,0.0
2611606058,Monteiro,9,2342.0,11028.8,10001.0,0.0,0.0
2611606015,Aflitos,10,1998.0,11008.62,8000.0,0.0,0.0
2611606017,Rosarinho,12,2818.0,10288.5,7225.0,0.0,0.0
2611606016,Espinheiro,19,4374.0,9868.23,8000.0,0.0,0.0
2611606018,Tamarineira,25,5057.0,9867.05,6500.0,0.0,0.0
2611606092,Boa Viagem,252,50663.0,9664.02,7000.0,435.0,0.9
2611606012,Derby,4,704.0,9259.89,8000.0,0.0,0.0
2611606064,Ilha do Retiro,7,1408.0,9121.81,5000.0,76.0,5.4
2611606062,Madalena,50,9964.0,8778.91,6700.0,0.0,0.0
2611606025,Encruzilhada,28,5929.0,8709.6,6000.0,0.0,0.0
2611606022,Ponto de Parada,4,925.0,7596.61,5000.0,0.0,0.0
2611606026,Torreão,3,602.0,7266.35,6000.0,0.0,0.0
2611606059,Torre,37,8185.0,7018.49,6000.0,143.0,1.7
2611606007,Ilha do Leite,3,489.0,6958.19,3500.0,0.0,0.0
2611606006,Paissandu,1,275.0,6419.92,5000.0,0.0,0.0
2611606048,Casa Amarela,55,12360.0,6204.09,3100.0,0.0,0.0
2611606023,Hipódromo,4,756.0,5376.65,4000.0,0.0,0.0
2611606003,Boa Vista,30,6133.0,5250.98,4000.0,0.0,0.0
2611606004,Soledade,6,1084.0,5167.32,4500.0,0.0,0.0
2611606037,Pau Ferro,1,27.0,4898.92,4750.0,0.0,0.0
2611606093,Pina,60,11653.0,3786.06,1212.0,703.0,6.0
2611606060,Cordeiro,73,13766.0,3781.89,2500.0,300.0,2.2
2611606091,Imbiribeira,106,19319.0,3750.09,1220.0,681.0,3.5
2611606063,Prado,20,4193.0,3628.1,1212.0,0.0,0.0
2611606002,Santo Amaro,50,10046.0,3591.84,1212.0,1504.0,15.0
2611606070,Caxangá,25,5067.0,3233.37,1300.0,186.0,3.7
2611606073,Engenho do Meio,15,3494.0,3183.56,1800.0,0.0,0.0
2611606033,Cajueiro,11,1862.0,3154.27,2000.0,29.0,1.6
2611606084,Tejipió,17,3748.0,2983.55,1500.0,0.0,0.0
2611606061,Zumbí,10,1881.0,2959.16,1833.25,0.0,0.0
2611606090,Ipsep,33,7721.0,2937.67,2000.0,0.0,0.0
2611606049,Vasco da Gama,49,9495.0,2881.71,1212.0,301.0,3.2
2611606071,Iputinga,89,18648.0,2844.65,1212.0,503.0,2.7
2611606069,Várzea,146,26535.0,2791.53,1242.0,311.0,1.2
2611606085,Jardim São Paulo,57,10919.0,2779.7,1242.0,142.0,1.3
2611606074,Cidade Universitária,5,675.0,2772.19,1526.5,0.0,0.0
2611606066,San Martin,39,8273.0,2716.84,1500.0,186.0,2.2
2611606043,Apipucos,8,868.0,2710.47,1234.0,0.0,0.0
2611606024,Campo Grande,53,11586.0,2678.0,1212.0,1587.0,13.7
2611606021,Arruda,26,4609.0,2604.73,1650.0,113.0,2.5
2611606032,Porto da Madeira,16,2371.0,2512.69,1375.0,47.0,2.0
2611606078,Areias,52,9692.0,2512.57,1500.0,365.0,3.8
2611606065,Bongi,12,2546.0,2406.4,1212.0,69.0,2.7
2611606005,Santo Antônio,1,227.0,2260.8,1500.0,0.0,0.0
2611606034,Fundão,15,2811.0,2227.07,1212.0,91.0,3.2
2611606011,São José,21,3154.0,2187.88,1212.0,724.0,23.0
2611606047,Alto do Mandu,6,1489.0,2064.06,1212.0,0.0,0.0
2611606086,Barro,62,10951.0,2018.89,1212.0,503.0,4.6
2611606087,Cohab,110,21926.0,1978.02,1212.0,242.0,1.1
2611606020,Campina do Barreto,14,3093.0,1972.12,1212.0,475.0,15.4
2611606077,Estância,17,2719.0,1955.69,1212.0,415.0,15.3
2611606075,Afogados,68,11522.0,1949.84,1212.0,859.0,7.5
2611606044,Macaxeira,37,6902.0,1928.94,1212.0,411.0,6.0
2611606038,Guabiraba,23,3934.0,1899.21,1212.0,442.0,11.2
2611606076,Jiquiá,27,4269.0,1856.67,1212.0,216.0,5.1
2611606053,Mangabeira,11,2348.0,1846.19,1212.0,0.0,0.0
2611606039,Sítio dos Pintos - São Brás,19,2943.0,1834.45,1212.0,0.0,0.0
2611606040,Dois Irmãos,7,1093.0,1793.39,1212.0,0.0,0.0
2611606067,Mustardinha,17,3740.0,1696.83,1212.0,261.0,7.0
2611606010,Cabanga,4,625.0,1681.01,1225.0,313.0,50.1
2611606088,Jordão,39,7172.0,1670.92,1212.0,0.0,0.0
2611606036,Bomba do Hemetério,12,2696.0,1654.34,1212.0,0.0,0.0
2611606083,Sancho,15,2598.0,1643.73,1212.0,0.0,0.0
2611606089,Ibura,91,16238.0,1635.8,1212.0,184.0,1.1
2611606081,Totó,3,753.0,1629.82,1212.0,0.0,0.0
2611606094,Brasília Teimosa,28,6118.0,1615.62,1212.0,0.0,0.0
2611606080,Curado,33,5916.0,1569.75,1212.0,601.0,10.2
2611606068,Mangueira,12,2815.0,1566.32,1212.0,0.0,0.0
2611606035,Água Fria,66,13482.0,1558.77,1212.0,2059.0,15.3
2611606072,Torrões,51,10983.0,1542.65,1212.0,997.0,9.1
2611606051,Morro da Conceição,17,2911.0,1538.83,1212.0,169.0,5.8
2611606082,Coqueiral,19,3443.0,1501.0,1212.0,0.0,0.0
2611606008,Coelhos,17,2198.0,1489.89,1200.0,269.0,12.2
2611606052,Alto José do Pinho,19,3945.0,1488.98,1212.0,181.0,4.6
2611606050,Alto José Bonifácio,19,3605.0,1455.46,1212.0,362.0,10.0
2611606041,Brejo da Guabiraba,24,3760.0,1450.6,1212.0,0.0,0.0
2611606030,Beberibe,14,2603.0,1434.48,1212.0,51.0,2.0
2611606045,Nova Descoberta,58,10267.0,1431.94,1212.0,818.0,8.0
2611606046,Brejo de Beberibe,14,2754.0,1427.46,1212.0,231.0,8.4
2611606029,Linha do Tiro,28,4900.0,1426.11,1212.0,811.0,16.6
2611606028,Dois Unidos,61,11063.0,1371.21,1212.0,212.0,1.9
2611606042,Córrego do Jenipapo,15,2854.0,1364.08,1212.0,0.0,0.0
2611606031,Alto Santa Terezinha,14,2305.0,1349.52,1212.0,643.0,27.9
2611606079,Caçote,14,3182.0,1246.28,1212.0,141.0,4.4
2611606019,Peixinhos,7,951.0,1195.42,1212.0,99.0,10.4
2611606027,Passarinho,46,8356.0,1193.83,1212.0,1862.0,22.3
2611606009,Ilha Joana Bezerra,23,4260.0,1134.42,1200.0,1629.0,38.2
2611606001,Recife,2,181.0,1116.6,1212.0,0.0,0.0
