bairro;ocorrencias;mortos;feridos;baleados;acoes_policiais;chacinas;indice_risco;nota_dimensao;dado_principal
Aflitos;0;0;0;0;0;0;0.0;10.0;0 ocorrencias e 0 baleados
Apipucos;0;0;0;0;0;0;0.0;10.0;0 ocorrencias e 0 baleados
Beberibe;0;0;0;0;0;0;0.0;10.0;0 ocorrencias e 0 baleados
Caxangá;0;0;0;0;0;0;0.0;10.0;0 ocorrencias e 0 baleados
Derby;0;0;0;0;0;0;0.0;10.0;0 ocorrencias e 0 baleados
Espinheiro;0;0;0;0;0;0;0.0;10.0;0 ocorrencias e 0 baleados
Fundão;0;0;0;0;0;0;0.0;10.0;0 ocorrencias e 0 baleados
Graças;0;0;0;0;0;0;0.0;10.0;0 ocorrencias e 0 baleados
Hipódromo;0;0;0;0;0;0;0.0;10.0;0 ocorrencias e 0 baleados
Jaqueira;0;0;0;0;0;0;0.0;10.0;0 ocorrencias e 0 baleados
Monteiro;0;0;0;0;0;0;0.0;10.0;0 ocorrencias e 0 baleados
Paissandu;0;0;0;0;0;0;0.0;10.0;0 ocorrencias e 0 baleados
Parnamirim;0;0;0;0;0;0;0.0;10.0;0 ocorrencias e 0 baleados
Pau Ferro;0;0;0;0;0;0;0.0;10.0;0 ocorrencias e 0 baleados
Peixinhos;0;0;0;0;0;0;0.0;10.0;0 ocorrencias e 0 baleados
Ponto de Parada;0;0;0;0;0;0;0.0;10.0;0 ocorrencias e 0 baleados
Recife;0;0;0;0;0;0;0.0;10.0;0 ocorrencias e 0 baleados
Rosarinho;0;0;0;0;0;0;0.0;10.0;0 ocorrencias e 0 baleados
Santana;0;0;0;0;0;0;0.0;10.0;0 ocorrencias e 0 baleados
Soledade;0;0;0;0;0;0;0.0;10.0;0 ocorrencias e 0 baleados
Tamarineira;0;0;0;0;0;0;0.0;10.0;0 ocorrencias e 0 baleados
Torreão;0;0;0;0;0;0;0.0;10.0;0 ocorrencias e 0 baleados
Sancho;1;0;1;1;0;0;2.0;9.78;1 ocorrencia e 1 baleado
Cabanga;1;1;0;1;0;0;3.0;9.67;1 ocorrencia e 1 baleado
Caçote;1;1;0;1;0;0;3.0;9.67;1 ocorrencia e 1 baleado
Encruzilhada;1;1;0;1;0;0;3.0;9.67;1 ocorrencia e 1 baleado
Ilha do Leite;1;1;0;1;0;0;3.0;9.67;1 ocorrencia e 1 baleado
Mangabeira;1;1;0;1;0;0;3.0;9.67;1 ocorrencia e 1 baleado
Porto da Madeira;1;1;0;1;0;0;3.0;9.67;1 ocorrencia e 1 baleado
Poço;1;1;0;1;0;0;3.0;9.67;1 ocorrencia e 1 baleado
Zumbí;1;1;0;1;0;0;3.0;9.67;1 ocorrencia e 1 baleado
Casa Forte;2;1;1;2;0;0;5.0;9.45;2 ocorrencias e 2 baleados
Cidade Universitária;1;1;2;3;1;0;5.5;9.4;1 ocorrencia e 3 baleados
Santo Antônio;2;1;1;2;1;0;5.5;9.4;2 ocorrencias e 2 baleados
Alto do Mandu;2;2;0;2;0;0;6.0;9.34;2 ocorrencias e 2 baleados
Cajueiro;2;1;2;3;0;0;6.0;9.34;2 ocorrencias e 3 baleados
Totó;2;2;0;2;0;0;6.0;9.34;2 ocorrencias e 2 baleados
Dois Irmãos;2;2;1;3;0;0;7.0;9.23;2 ocorrencias e 3 baleados
Madalena;3;1;2;3;0;0;7.0;9.23;3 ocorrencias e 3 baleados
Engenho do Meio;2;3;1;4;1;0;9.5;8.96;2 ocorrencias e 4 baleados
Casa Amarela;3;3;1;4;0;0;10.0;8.9;3 ocorrencias e 4 baleados
Morro da Conceição;3;3;1;4;0;0;10.0;8.9;3 ocorrencias e 4 baleados
Bongi;5;2;2;4;0;0;11.0;8.79;5 ocorrencias e 4 baleados
Estância;4;3;1;4;0;0;11.0;8.79;4 ocorrencias e 4 baleados
Jordão;4;3;1;4;0;0;11.0;8.79;4 ocorrencias e 4 baleados
Arruda;5;2;2;4;2;0;12.0;8.68;5 ocorrencias e 4 baleados
Ilha do Retiro;5;2;2;4;2;0;12.0;8.68;5 ocorrencias e 4 baleados
Mustardinha;4;4;0;4;0;0;12.0;8.68;4 ocorrencias e 4 baleados
Boa Vista;5;4;0;4;0;0;13.0;8.57;5 ocorrencias e 4 baleados
Coelhos;5;4;1;5;0;0;14.0;8.46;5 ocorrencias e 5 baleados
